name,network,longitude,latitude,intensity_mmi,pga,pgv,distance_km
Berado (Intensity IX),INTENSITY,69.89,23.49,9.0,63.0011,97.7299,21.65
Satkhira (Intensity III),INTENSITY,89.08,22.71,3.0,null,null,1886.244
Mathura (Intensity IV),INTENSITY,77.63,27.56,4.0,0.3452,0.8443,839.634
Kunria,INTENSITY,69.70924,23.36838,8.0,30.8729,43.3131,40.538
Nadiad (Intensity VII),INTENSITY,72.87,22.72,7.0,11.3276,17.3064,253.952
Vishakhapatnam (Intensity III),INTENSITY,83.25,17.69,3.0,null,null,1462.114
Sukhpar (Intensity IX),INTENSITY,70.71,23.22,9.0,52.9527,91.8341,44.707
Varanasi (Intensity III),INTENSITY,82.6,25.32,3.0,null,null,1233.424
Jinna,INTENSITY,69.59366,23.40793,7.0,16.596,19.843,51.583
Rajula (Intensity VI),INTENSITY,71.45,21.05,6.0,6.276,8.0148,284.861
Bet Dwarka (Intensity VII),INTENSITY,69.08,22.45,7.0,12.8454,18.1036,150.255
Jodya,INTENSITY,70.31586,22.67816,7.0,14.8601,19.0732,81.802
Ponnuru (Intensity II),INTENSITY,80.56,16.07,2.0,null,null,1324.01
Cuddalore (Intensity II),INTENSITY,79.79,11.75,2.0,null,null,1615.741
Lakhpat (Intensity VII),INTENSITY,68.77,23.83,7.0,13.0236,18.1931,141.859
Ghantila,INTENSITY,71.00315,23.08575,8.0,26.8375,41.1939,72.736
Rapar (Intensity IX),INTENSITY,70.63,23.56,9.0,69.2615,101.1025,14.579
Kotri (Intensity V),INTENSITY,68.22,25.22,5.0,1.9311,3.7616,273.56
Sewaliya (Intensity VI),INTENSITY,73.3,22.8,6.0,6.2346,7.9958,292.852
Pondicherry (Intensity IV),INTENSITY,79.83,11.93,null,null,null,1602.36
Dakor (Intensity VI),INTENSITY,73.2,22.75,6.0,6.2772,8.0153,284.636
Sikra (Intensity X),INTENSITY,70.29,23.33,9.0,65.5429,99.1241,18.355
Kathmandu (Intensity II),INTENSITY,85.28,27.73,2.0,null,null,1543.335
Deshalpar (Intensity VIII),INTENSITY,69.45,23.21,8.0,26.9805,41.2724,71.141
Kheda (Intensity VII),INTENSITY,72.7,22.78,7.0,11.5332,17.4182,235.586
Motibaru,INTENSITY,72.46875,22.41919,7.0,11.5845,17.4459,231.259
Mangrol (Intensity VII),INTENSITY,73.1,21.5,7.0,10.8842,17.0607,342.402
Butchireddipalem (Intensity II),INTENSITY,79.88,14.53,2.0,null,null,1386.759
Himatnagar,INTENSITY,73.02429,23.55047,5.0,2.0296,3.7844,254.916
Shahajahanpur (Intensity III),INTENSITY,79.92,27.87,3.0,null,null,1054.826
Gandhinagar (Intensity VII),INTENSITY,72.38,23.14,7.0,12.0817,17.7105,194.055
Dhrangadhra (Intensity VIII),INTENSITY,71.47,22.99,8.0,24.0591,39.6128,114.772
Tadepalli (Intensity II),INTENSITY,80.6,16.48,2.0,null,null,1299.133
Mirzapur (Intensity III),INTENSITY,82.6,25.13,3.0,null,null,1231.062
